,Date,NASDAQ 100
290,1981-02-20,192.28999299999998
291,1981-02-23,193.059998
292,1981-02-24,193.940002
293,1981-02-25,193.990005
294,1981-02-26,196.130005
295,1981-02-27,198.009995
296,1981-03-02,199.059998
297,1981-03-03,198.350006
298,1981-03-04,198.75
299,1981-03-05,199.050003
300,1981-03-06,199.889999
301,1981-03-09,200.139999
302,1981-03-10,199.029999
303,1981-03-11,198.16000400000001
304,1981-03-12,200.669998
305,1981-03-13,202.169998
306,1981-03-16,203.440002
307,1981-03-17,203.190002
308,1981-03-18,204.0
309,1981-03-19,204.449997
310,1981-03-20,206.28999299999998
311,1981-03-23,207.619995
312,1981-03-24,207.699997
313,1981-03-25,209.309998
314,1981-03-26,209.529999
315,1981-03-27,208.820007
316,1981-03-30,208.96000700000002
317,1981-03-31,210.17999300000002
318,1981-04-01,211.33999599999999
319,1981-04-02,211.960007
320,1981-04-03,212.649994
321,1981-04-06,211.270004
322,1981-04-07,211.75999500000003
323,1981-04-08,212.80000299999998
324,1981-04-09,213.91000400000001
325,1981-04-10,215.149994
326,1981-04-13,214.330002
327,1981-04-14,213.38999900000002
328,1981-04-15,214.979996
329,1981-04-16,216.63999900000002
330,1981-04-20,217.55000299999998
331,1981-04-21,216.729996
332,1981-04-22,217.190002
333,1981-04-23,218.020004
334,1981-04-24,219.559998
335,1981-04-27,219.88000499999998
336,1981-04-28,217.63000499999998
337,1981-04-29,216.22000099999997
338,1981-04-30,216.74000499999997
339,1981-05-01,216.67999300000002
340,1981-05-04,213.32000699999998
341,1981-05-05,211.55000299999998
342,1981-05-06,211.979996
343,1981-05-07,213.66000400000001
344,1981-05-08,214.83999599999999
345,1981-05-11,212.789993
346,1981-05-12,213.11999500000002
347,1981-05-13,213.77999900000003
348,1981-05-14,215.17999300000002
349,1981-05-15,216.50999500000003
350,1981-05-18,216.940002
351,1981-05-19,216.11999500000002
352,1981-05-20,217.63000499999998
353,1981-05-21,218.350006
354,1981-05-22,219.229996
355,1981-05-26,220.24000499999997
356,1981-05-27,222.169998
357,1981-05-28,223.309998
358,1981-05-29,223.47000099999997
359,1981-06-01,223.020004
360,1981-06-02,219.58999599999999
361,1981-06-03,218.88999900000002
362,1981-06-04,219.67999300000002
363,1981-06-05,221.30000299999998
364,1981-06-08,220.83999599999999
365,1981-06-09,220.00999500000003
366,1981-06-10,220.399994
367,1981-06-11,222.33999599999999
368,1981-06-12,222.75999500000003
369,1981-06-15,222.960007
370,1981-06-16,220.580002
371,1981-06-17,220.61000099999998
372,1981-06-18,218.710007
373,1981-06-19,219.559998
374,1981-06-22,218.600006
375,1981-06-23,219.229996
376,1981-06-24,218.770004
377,1981-06-25,219.309998
378,1981-06-26,219.75999500000003
379,1981-06-29,218.22000099999997
380,1981-06-30,215.75
381,1981-07-01,214.63000499999998
382,1981-07-02,212.80000299999998
383,1981-07-06,209.100006
384,1981-07-07,208.009995
385,1981-07-08,208.440002
386,1981-07-09,210.02999900000003
387,1981-07-10,210.539993
388,1981-07-13,210.86000099999998
389,1981-07-14,209.88000499999998
390,1981-07-15,210.83999599999999
391,1981-07-16,212.020004
392,1981-07-17,212.75999500000003
393,1981-07-20,209.270004
394,1981-07-21,207.71000700000002
395,1981-07-22,206.16000400000001
396,1981-07-23,206.41000400000001
397,1981-07-24,208.0
398,1981-07-27,209.419998
399,1981-07-28,208.91000400000001
400,1981-07-29,208.949997
401,1981-07-30,210.02999900000003
402,1981-07-31,211.63000499999998
403,1981-08-03,210.399994
404,1981-08-04,210.08999599999999
405,1981-08-05,211.02999900000003
406,1981-08-06,211.669998
407,1981-08-07,211.36000099999998
408,1981-08-10,210.83999599999999
409,1981-08-11,211.669998
410,1981-08-12,211.94999700000002
411,1981-08-13,212.36000099999998
412,1981-08-14,212.11999500000002
413,1981-08-17,209.649994
414,1981-08-18,207.009995
415,1981-08-19,207.220001
416,1981-08-20,207.970001
417,1981-08-21,206.759995
418,1981-08-24,200.759995
419,1981-08-25,197.779999
420,1981-08-26,197.809998
421,1981-08-27,196.820007
422,1981-08-28,197.550003
423,1981-08-31,195.75
424,1981-09-01,195.169998
425,1981-09-02,195.389999
426,1981-09-03,191.990005
427,1981-09-04,189.630005
428,1981-09-08,184.78999299999998
429,1981-09-09,184.770004
430,1981-09-10,187.550003
431,1981-09-11,189.809998
432,1981-09-14,189.619995
433,1981-09-15,189.559998
434,1981-09-16,187.820007
435,1981-09-17,185.71000700000002
436,1981-09-18,184.270004
437,1981-09-21,184.41000400000001
438,1981-09-22,183.259995
439,1981-09-23,179.990005
440,1981-09-24,180.389999
441,1981-09-25,175.119995
442,1981-09-28,175.029999
443,1981-09-29,178.509995
444,1981-09-30,180.029999
445,1981-10-01,181.08999599999999
446,1981-10-02,184.369995
447,1981-10-05,185.91000400000001
448,1981-10-06,185.869995
449,1981-10-07,188.779999
450,1981-10-08,191.009995
451,1981-10-09,191.270004
452,1981-10-12,191.279999
453,1981-10-13,191.919998
454,1981-10-14,189.429993
455,1981-10-15,189.850006
456,1981-10-16,190.240005
457,1981-10-19,189.770004
458,1981-10-20,191.229996
459,1981-10-21,192.380005
460,1981-10-22,192.429993
461,1981-10-23,191.91000400000001
462,1981-10-26,191.009995
463,1981-10-27,192.610001
464,1981-10-28,193.75
465,1981-10-29,193.080002
466,1981-10-30,195.240005
467,1981-11-02,197.25
468,1981-11-03,198.779999
469,1981-11-04,199.729996
470,1981-11-05,200.020004
471,1981-11-06,199.970001
472,1981-11-09,199.919998
473,1981-11-10,199.899994
474,1981-11-11,200.050003
475,1981-11-12,200.990005
476,1981-11-13,200.16000400000001
477,1981-11-16,197.16000400000001
478,1981-11-17,197.679993
479,1981-11-18,197.600006
480,1981-11-19,197.320007
481,1981-11-20,198.600006
482,1981-11-23,198.009995
483,1981-11-24,199.03999299999998
484,1981-11-25,200.009995
485,1981-11-27,201.020004
486,1981-11-30,201.369995
487,1981-12-01,201.130005
488,1981-12-02,200.350006
489,1981-12-03,199.899994
490,1981-12-04,200.880005
491,1981-12-07,199.71000700000002
492,1981-12-08,198.130005
493,1981-12-09,198.28999299999998
494,1981-12-10,198.919998
495,1981-12-11,198.639999
496,1981-12-14,195.669998
497,1981-12-15,195.16000400000001
498,1981-12-16,195.08999599999999
499,1981-12-17,195.699997
500,1981-12-18,197.009995
501,1981-12-21,196.369995
502,1981-12-22,195.639999
503,1981-12-23,195.449997
504,1981-12-24,195.699997
505,1981-12-28,195.139999
506,1981-12-29,193.91000400000001
507,1981-12-30,194.66000400000001
508,1981-12-31,195.83999599999999
509,1982-01-04,195.529999
510,1982-01-05,192.330002
511,1982-01-06,191.149994
512,1982-01-07,191.020004
513,1982-01-08,192.050003
514,1982-01-11,188.800003
515,1982-01-12,187.320007
516,1982-01-13,185.729996
517,1982-01-14,185.889999
518,1982-01-15,187.320007
519,1982-01-18,187.21000700000002
520,1982-01-19,186.16000400000001
521,1982-01-20,185.720001
522,1982-01-21,186.399994
523,1982-01-22,185.830002
524,1982-01-25,183.520004
525,1982-01-26,183.41000400000001
526,1982-01-27,183.570007
527,1982-01-28,186.220001
528,1982-01-29,188.389999
529,1982-02-01,186.820007
530,1982-02-02,187.46000700000002
531,1982-02-03,187.429993
532,1982-02-04,187.139999
533,1982-02-05,188.21000700000002
534,1982-02-08,184.630005
535,1982-02-09,182.509995
536,1982-02-10,182.970001
537,1982-02-11,182.25
538,1982-02-12,182.520004
539,1982-02-16,180.71000700000002
540,1982-02-17,181.25
541,1982-02-18,181.380005
542,1982-02-19,180.649994
543,1982-02-22,179.070007
544,1982-02-23,177.490005
545,1982-02-24,178.580002
546,1982-02-25,179.440002
547,1982-02-26,179.429993
548,1982-03-01,180.130005
549,1982-03-02,180.139999
550,1982-03-03,178.009995
551,1982-03-04,176.28999299999998
552,1982-03-05,173.970001
553,1982-03-08,171.029999
554,1982-03-09,169.71000700000002
555,1982-03-10,170.419998
556,1982-03-11,170.08999599999999
557,1982-03-12,168.229996
558,1982-03-15,167.919998
559,1982-03-16,168.279999
560,1982-03-17,168.199997
561,1982-03-18,170.130005
562,1982-03-19,171.759995
563,1982-03-22,173.830002
564,1982-03-23,174.949997
565,1982-03-24,174.83999599999999
566,1982-03-25,175.830002
567,1982-03-26,175.199997
568,1982-03-29,175.5
569,1982-03-30,175.419998
570,1982-03-31,175.649994
571,1982-04-01,177.309998
572,1982-04-02,178.559998
573,1982-04-05,178.21000700000002
574,1982-04-06,178.679993
575,1982-04-07,179.91000400000001
576,1982-04-08,181.149994
577,1982-04-12,180.889999
578,1982-04-13,180.759995
579,1982-04-14,180.41000400000001
580,1982-04-15,181.119995
581,1982-04-16,182.25
582,1982-04-19,182.369995
583,1982-04-20,181.940002
584,1982-04-21,182.320007
585,1982-04-22,183.66000400000001
586,1982-04-23,184.929993
587,1982-04-26,185.800003
588,1982-04-27,184.720001
589,1982-04-28,184.889999
590,1982-04-29,184.149994
591,1982-04-30,184.699997
592,1982-05-03,184.970001
593,1982-05-04,185.949997
594,1982-05-05,185.880005
595,1982-05-06,187.270004
596,1982-05-07,188.130005
597,1982-05-10,187.570007
598,1982-05-11,188.190002
599,1982-05-12,188.059998
600,1982-05-13,187.66000400000001
601,1982-05-14,188.220001
602,1982-05-17,186.899994
603,1982-05-18,185.809998
604,1982-05-19,183.91000400000001
605,1982-05-20,182.720001
606,1982-05-21,182.399994
607,1982-05-24,181.71000700000002
608,1982-05-25,181.119995
609,1982-05-26,178.759995
610,1982-05-27,178.369995
611,1982-05-28,178.53999299999998
612,1982-06-01,177.360001
613,1982-06-02,177.820007
614,1982-06-03,177.100006
615,1982-06-04,174.820007
616,1982-06-07,173.83999599999999
617,1982-06-08,173.279999
618,1982-06-09,170.940002
619,1982-06-10,171.369995
620,1982-06-11,173.550003
621,1982-06-14,172.149994
622,1982-06-15,171.190002
623,1982-06-16,171.440002
624,1982-06-17,169.850006
625,1982-06-18,168.5
626,1982-06-21,168.0
627,1982-06-22,169.050003
628,1982-06-23,170.860001
629,1982-06-24,171.119995
630,1982-06-25,170.479996
631,1982-06-28,171.070007
632,1982-06-29,170.529999
633,1982-06-30,171.300003
634,1982-07-01,170.600006
635,1982-07-02,170.050003
636,1982-07-06,169.220001
637,1982-07-07,168.080002
638,1982-07-08,166.800003
639,1982-07-09,168.070007
640,1982-07-12,168.850006
641,1982-07-13,169.350006
642,1982-07-14,169.21000700000002
643,1982-07-15,169.610001
644,1982-07-16,170.179993
645,1982-07-19,170.08999599999999
646,1982-07-20,170.830002
647,1982-07-21,171.53999299999998
648,1982-07-22,172.059998
649,1982-07-23,172.110001
650,1982-07-26,171.449997
651,1982-07-27,170.71000700000002
652,1982-07-28,168.369995
653,1982-07-29,167.600006
654,1982-07-30,167.350006
655,1982-08-02,168.369995
656,1982-08-03,167.970001
657,1982-08-04,166.559998
658,1982-08-05,165.149994
659,1982-08-06,163.58999599999999
660,1982-08-09,161.380005
661,1982-08-10,161.320007
662,1982-08-11,160.770004
663,1982-08-12,159.83999599999999
664,1982-08-13,159.139999
665,1982-08-16,159.679993
666,1982-08-17,162.279999
667,1982-08-18,164.990005
668,1982-08-19,164.919998
669,1982-08-20,166.96000700000002
670,1982-08-23,169.880005
671,1982-08-24,172.229996
672,1982-08-25,174.929993
673,1982-08-26,178.169998
674,1982-08-27,177.600006
675,1982-08-30,176.360001
676,1982-08-31,177.71000700000002
677,1982-09-01,177.300003
678,1982-09-02,179.5
679,1982-09-03,182.050003
680,1982-09-07,180.880005
681,1982-09-08,181.78999299999998
682,1982-09-09,182.770004
683,1982-09-10,182.470001
684,1982-09-13,182.899994
685,1982-09-14,184.600006
686,1982-09-15,186.309998
687,1982-09-16,186.800003
688,1982-09-17,186.610001
689,1982-09-20,186.0
690,1982-09-21,187.91000400000001
691,1982-09-22,188.619995
692,1982-09-23,188.149994
693,1982-09-24,188.610001
694,1982-09-27,188.639999
695,1982-09-28,189.03999299999998
696,1982-09-29,188.259995
697,1982-09-30,187.649994
698,1982-10-01,188.699997
699,1982-10-04,188.020004
700,1982-10-05,188.770004
701,1982-10-06,191.979996
702,1982-10-07,195.58999599999999
703,1982-10-08,198.889999
704,1982-10-11,202.309998
705,1982-10-12,202.16000400000001
706,1982-10-13,205.169998
707,1982-10-14,204.850006
708,1982-10-15,204.46000700000002
709,1982-10-18,206.610001
710,1982-10-19,207.479996
711,1982-10-20,210.69999700000002
712,1982-10-21,214.27999900000003
713,1982-10-22,215.289993
714,1982-10-25,210.88999900000002
715,1982-10-26,209.919998
716,1982-10-27,212.19999700000002
717,1982-10-28,211.86999500000002
718,1982-10-29,212.63000499999998
719,1982-11-01,214.520004
720,1982-11-02,217.649994
721,1982-11-03,222.770004
722,1982-11-04,225.00999500000003
723,1982-11-05,227.02999900000003
724,1982-11-08,226.74000499999997
725,1982-11-09,230.190002
726,1982-11-10,230.41000400000001
727,1982-11-11,231.520004
728,1982-11-12,232.61000099999998
729,1982-11-15,229.33999599999999
730,1982-11-16,224.97000099999997
731,1982-11-17,227.75
732,1982-11-18,229.27999900000003
733,1982-11-19,229.41000400000001
734,1982-11-22,225.789993
735,1982-11-23,225.169998
736,1982-11-24,226.88000499999998
737,1982-11-26,228.63999900000002
738,1982-11-29,228.38999900000002
739,1982-11-30,232.309998
740,1982-12-01,235.58999599999999
741,1982-12-02,236.17999300000002
742,1982-12-03,237.16000400000001
743,1982-12-06,239.289993
744,1982-12-07,240.649994
745,1982-12-08,240.69999700000002
746,1982-12-09,237.24000499999997
747,1982-12-10,233.850006
748,1982-12-13,233.330002
749,1982-12-14,231.330002
750,1982-12-15,225.690002
751,1982-12-16,225.600006
752,1982-12-17,228.92999300000002
753,1982-12-20,227.88000499999998
754,1982-12-21,228.520004
755,1982-12-22,231.039993
756,1982-12-23,232.330002
757,1982-12-27,233.19999700000002
758,1982-12-28,232.19999700000002
759,1982-12-29,232.270004
760,1982-12-30,231.27999900000003
761,1982-12-31,232.41000400000001
762,1983-01-03,230.58999599999999
763,1983-01-04,231.63999900000002
764,1983-01-05,232.729996
765,1983-01-06,236.61000099999998
766,1983-01-07,238.600006
767,1983-01-10,240.940002
768,1983-01-11,240.850006
769,1983-01-12,242.91000400000001
770,1983-01-13,243.479996
771,1983-01-14,245.63000499999998
772,1983-01-17,247.13999900000002
773,1983-01-18,246.649994
774,1983-01-19,245.19999700000002
775,1983-01-20,245.99000499999997
776,1983-01-21,243.97000099999997
777,1983-01-24,236.729996
778,1983-01-25,239.190002
779,1983-01-26,241.42999300000002
780,1983-01-27,245.440002
781,1983-01-28,246.92999300000002
782,1983-01-31,248.350006
783,1983-02-01,248.149994
784,1983-02-02,248.27999900000003
785,1983-02-03,249.440002
786,1983-02-04,251.649994
787,1983-02-07,252.020004
788,1983-02-08,251.100006
789,1983-02-09,251.38000499999998
790,1983-02-10,254.770004
791,1983-02-11,256.640015
792,1983-02-14,258.670013
793,1983-02-15,259.059998
794,1983-02-16,259.070007
795,1983-02-17,259.0
796,1983-02-18,261.290009
797,1983-02-22,259.179993
798,1983-02-23,259.98999
799,1983-02-24,262.309998
800,1983-02-25,262.440002
801,1983-02-28,260.670013
802,1983-03-01,261.820007
803,1983-03-02,263.399994
804,1983-03-03,265.209991
805,1983-03-04,265.940002
806,1983-03-07,265.390015
807,1983-03-08,263.160004
808,1983-03-09,265.059998
809,1983-03-10,266.079987
810,1983-03-11,266.179993
811,1983-03-14,264.339996
812,1983-03-15,264.25
813,1983-03-16,264.660004
814,1983-03-17,264.01001
815,1983-03-18,265.01001
816,1983-03-21,266.329987
817,1983-03-22,267.519989
818,1983-03-23,269.26001
819,1983-03-24,270.369995
820,1983-03-25,270.890015
821,1983-03-28,269.149994
822,1983-03-29,268.769989
823,1983-03-30,270.77999900000003
824,1983-03-31,270.799988
825,1983-04-04,268.730011
826,1983-04-05,268.829987
827,1983-04-06,266.47000099999997
828,1983-04-07,266.73999
829,1983-04-08,268.100006
830,1983-04-11,270.809998
831,1983-04-12,272.730011
832,1983-04-13,275.929993
833,1983-04-14,278.809998
834,1983-04-15,281.600006
835,1983-04-18,282.829987
836,1983-04-19,281.859985
837,1983-04-20,284.809998
838,1983-04-21,286.839996
839,1983-04-22,288.549988
840,1983-04-25,286.579987
841,1983-04-26,288.109985
842,1983-04-27,288.929993
843,1983-04-28,290.839996
844,1983-04-29,293.059998
845,1983-05-02,290.540009
846,1983-05-03,289.649994
847,1983-05-04,293.209991
848,1983-05-05,297.320007
849,1983-05-06,301.640015
850,1983-05-09,302.649994
851,1983-05-10,304.339996
852,1983-05-11,302.890015
853,1983-05-12,302.149994
854,1983-05-13,303.940002
855,1983-05-16,299.600006
856,1983-05-17,301.019989
857,1983-05-18,303.51001
858,1983-05-19,302.820007
859,1983-05-20,303.559998
860,1983-05-23,303.859985
861,1983-05-24,307.359985
862,1983-05-25,309.160004
863,1983-05-26,311.390015
864,1983-05-27,312.049988
865,1983-05-31,308.730011
866,1983-06-01,307.950012
867,1983-06-02,310.450012
868,1983-06-03,313.850006
869,1983-06-06,315.480011
870,1983-06-07,314.170013
871,1983-06-08,312.48999
872,1983-06-09,312.73999
873,1983-06-10,315.23999
874,1983-06-13,318.049988
875,1983-06-14,320.040009
876,1983-06-15,322.040009
877,1983-06-16,326.5
878,1983-06-17,326.109985
879,1983-06-20,324.630005
880,1983-06-21,325.959991
881,1983-06-22,328.190002
882,1983-06-23,327.329987
883,1983-06-24,328.910004
884,1983-06-27,324.339996
885,1983-06-28,315.869995
886,1983-06-29,316.23999
887,1983-06-30,318.700012
888,1983-07-01,321.579987
889,1983-07-05,317.149994
890,1983-07-06,319.140015
891,1983-07-07,320.02999900000003
892,1983-07-08,319.570007
893,1983-07-11,320.380005
894,1983-07-12,316.929993
895,1983-07-13,314.589996
896,1983-07-14,315.48999
897,1983-07-15,312.869995
898,1983-07-18,310.290009
899,1983-07-19,311.170013
900,1983-07-20,316.76001
901,1983-07-21,319.290009
902,1983-07-22,320.709991
903,1983-07-25,320.839996
904,1983-07-26,320.380005
905,1983-07-27,315.040009
906,1983-07-28,308.47000099999997
907,1983-07-29,303.959991
908,1983-08-01,302.079987
909,1983-08-02,303.179993
910,1983-08-03,303.859985
911,1983-08-04,299.700012
912,1983-08-05,300.200012
913,1983-08-08,294.929993
914,1983-08-09,294.26001
915,1983-08-10,296.649994
916,1983-08-11,297.559998
917,1983-08-12,299.579987
918,1983-08-15,301.77999900000003
919,1983-08-16,299.850006
920,1983-08-17,300.839996
921,1983-08-18,299.77999900000003
922,1983-08-19,299.100006
923,1983-08-22,298.76001
924,1983-08-23,293.660004
925,1983-08-24,290.859985
926,1983-08-25,289.52999900000003
927,1983-08-26,290.309998
928,1983-08-29,289.359985
929,1983-08-30,289.859985
930,1983-08-31,292.420013
931,1983-09-01,294.549988
932,1983-09-02,297.850006
933,1983-09-06,301.230011
934,1983-09-07,300.76001
935,1983-09-08,301.790009
936,1983-09-09,302.230011
937,1983-09-12,300.76001
938,1983-09-13,297.929993
939,1983-09-14,298.339996
940,1983-09-15,297.190002
941,1983-09-16,298.269989
942,1983-09-19,301.829987
943,1983-09-20,303.359985
944,1983-09-21,303.26001
945,1983-09-22,304.559998
946,1983-09-23,303.609985
947,1983-09-26,303.769989
948,1983-09-27,300.77999900000003
949,1983-09-28,299.76001
950,1983-09-29,299.290009
951,1983-09-30,296.649994
952,1983-10-03,294.640015
953,1983-10-04,294.809998
954,1983-10-05,294.570007
