,Date,NIKKEI 225
259,1980-12-24,7042.0
260,1980-12-25,7031.870117
261,1980-12-26,7063.129883
262,1980-12-29,7063.129883
263,1980-12-30,7063.129883
267,1981-01-05,7150.950195
268,1981-01-06,7137.589844
269,1981-01-07,7200.77002
270,1981-01-08,7222.140137
271,1981-01-09,7248.129883
272,1981-01-12,7251.879883
273,1981-01-13,7246.799805
274,1981-01-14,7244.779785
276,1981-01-16,7255.850098000001
277,1981-01-19,7296.080078
278,1981-01-20,7289.97998
279,1981-01-21,7315.330078
280,1981-01-22,7293.279785
281,1981-01-23,7267.52002
282,1981-01-26,7249.419922
283,1981-01-27,7285.029785
284,1981-01-28,7279.410156
285,1981-01-29,7215.120117
286,1981-01-30,7254.009765999999
287,1981-02-02,7322.060059
288,1981-02-03,7291.310059
289,1981-02-04,7288.410156
290,1981-02-05,7278.439941
291,1981-02-06,7264.109863
292,1981-02-09,7239.899901999999
293,1981-02-10,7261.529785
295,1981-02-12,7261.490234000001
296,1981-02-13,7207.220215
297,1981-02-16,7165.52002
298,1981-02-17,7135.910156
299,1981-02-18,7157.0
300,1981-02-19,7121.649901999999
301,1981-02-20,7100.810059
302,1981-02-23,7095.259765999999
303,1981-02-24,7111.22998
304,1981-02-25,7121.660156
305,1981-02-26,7120.240234000001
306,1981-02-27,7146.529785
307,1981-03-02,7155.580078
308,1981-03-03,7137.120117
309,1981-03-04,7134.390137
310,1981-03-05,7094.029785
311,1981-03-06,7081.189941
312,1981-03-09,7068.72998
313,1981-03-10,7059.410156
314,1981-03-11,7044.870117
315,1981-03-12,6986.390137
316,1981-03-13,6956.52002
317,1981-03-16,7124.330078
318,1981-03-17,7120.390137
319,1981-03-18,7176.669922
320,1981-03-19,7196.799805
321,1981-03-20,7220.939941
322,1981-03-23,7293.569823999999
323,1981-03-24,7318.189941
324,1981-03-25,7325.959961
325,1981-03-26,7307.27002
326,1981-03-27,7303.040039
327,1981-03-30,7304.689941
328,1981-03-31,7334.310059
329,1981-04-01,7389.990234000001
330,1981-04-02,7416.970215
331,1981-04-03,7421.189941
332,1981-04-06,7447.740234000001
333,1981-04-07,7458.359863
334,1981-04-08,7508.52002
335,1981-04-09,7491.819823999999
336,1981-04-10,7517.310059
337,1981-04-13,7536.959961
338,1981-04-14,7514.879883
339,1981-04-15,7461.200195
340,1981-04-16,7418.740234000001
341,1981-04-17,7438.799805
342,1981-04-20,7484.709961
343,1981-04-21,7497.359863
344,1981-04-22,7533.220215
345,1981-04-23,7523.720215
346,1981-04-24,7534.410156
347,1981-04-27,7588.029785
348,1981-04-28,7623.810059
350,1981-04-30,7674.189941
351,1981-05-01,7575.609863
354,1981-05-06,7465.299805
355,1981-05-07,7440.52002
356,1981-05-08,7495.25
357,1981-05-11,7551.189941
358,1981-05-12,7480.240234000001
359,1981-05-13,7390.640137
360,1981-05-14,7467.450195
361,1981-05-15,7486.839844
362,1981-05-18,7451.890137
363,1981-05-19,7264.009765999999
364,1981-05-20,7371.27002
365,1981-05-21,7487.459961
366,1981-05-22,7541.02002
367,1981-05-25,7560.77002
368,1981-05-26,7576.180176000001
369,1981-05-27,7529.200195
370,1981-05-28,7502.029785
371,1981-05-29,7539.689941
372,1981-06-01,7589.950195
373,1981-06-02,7504.490234000001
374,1981-06-03,7480.580078
375,1981-06-04,7413.240234000001
376,1981-06-05,7430.370117
377,1981-06-08,7334.970215
378,1981-06-09,7375.27002
379,1981-06-10,7484.52002
380,1981-06-11,7569.299805
381,1981-06-12,7634.859863
382,1981-06-15,7711.72998
383,1981-06-16,7696.52002
384,1981-06-17,7705.299805
385,1981-06-18,7712.009765999999
386,1981-06-19,7714.569823999999
387,1981-06-22,7668.859863
388,1981-06-23,7705.410156
389,1981-06-24,7706.609863
390,1981-06-25,7692.839844
391,1981-06-26,7726.0
392,1981-06-29,7851.72998
393,1981-06-30,7867.419922
394,1981-07-01,7894.930176000001
395,1981-07-02,7904.560059
396,1981-07-03,7925.339844
397,1981-07-06,7927.359863
398,1981-07-07,7826.470215
399,1981-07-08,7916.379883
400,1981-07-09,7895.160156
401,1981-07-10,7912.97998
402,1981-07-13,7923.859863
403,1981-07-14,7878.959961
404,1981-07-15,7853.950195
405,1981-07-16,7887.379883
406,1981-07-17,7876.890137
407,1981-07-20,7840.160156
408,1981-07-21,7756.759765999999
409,1981-07-22,7760.839844
410,1981-07-23,7717.069823999999
411,1981-07-24,7743.080078
412,1981-07-27,7816.759765999999
413,1981-07-28,7784.839844
414,1981-07-29,7823.560059
415,1981-07-30,7831.350098000001
416,1981-07-31,7828.259765999999
417,1981-08-03,7815.970215
418,1981-08-04,7820.060059
419,1981-08-05,7888.529785
420,1981-08-06,7906.100098000001
